sessionId,tester,timestamp,order,configId,configTitle,category,difficulty,course,jumpMode,attachMode,selectionMode,feature,feel,finished,timeSeconds,deaths,manualRespawns,restarts,skips,attempts,checkpoints,jumps,airJumps,grappleLatches,splits,rating,comment
20260924_204350,Will,2026-09-24T20:45:17,1,C01,Baseline: clamped cursor jump (55°),Core,Easy,General,ClampedCursorDirection,Nearest,NearestGap,None,-,1,52.5,0,0,0,0,1,6,35,0,0,8.1;12.3;16.1;33.0;38.2;46.9;52.5,8,"Pretty comfortable, a little weird on the ladder climb"
20260924_204350,Will,2026-09-24T20:46:49,2,C01,Baseline: clamped cursor jump (55°),Core,Medium,General,ClampedCursorDirection,Nearest,NearestGap,None,-,1,75.3,3,0,0,0,1,6,60,0,0,9.5;25.7;31.6;42.2;54.8;65.0;75.3,9,"Pretty comfortable, no real issues"
20260924_204350,Will,2026-09-24T20:51:41,3,C01,Baseline: clamped cursor jump (55°),Core,Hard,General,ClampedCursorDirection,Nearest,NearestGap,None,-,1,194.7,11,0,0,0,3,8,88,0,0,19.4;37.0;71.4;79.6;90.1;106.5;147.3;151.9;194.7,9,"Worked pretty well, no comments!"
20260924_204350,Will,2026-09-24T20:53:19,4,C02,Local surface normal jump,Core,Easy,General,LocalSurfaceNormal,Nearest,NearestGap,None,-,1,63.2,0,0,0,0,1,6,45,0,0,11.5;18.8;31.5;41.8;47.2;56.7;63.2,6,"Pretty smooth on the rounded surfaces, but struggles on the flat jumps and ladders"
20260924_204350,Will,2026-09-24T20:55:25,5,C02,Local surface normal jump,Core,Medium,General,LocalSurfaceNormal,Nearest,NearestGap,None,-,1,106.0,4,0,0,2,1,6,59,0,0,18.9;26.2;32.9;74.5;86.3;87.2;106.0,6,"Struggled on ladder and flats, also felt bad on weird angle jumps"
20260924_204350,Will,2026-09-24T20:57:02,6,C02,Local surface normal jump,Core,Hard,General,LocalSurfaceNormal,Nearest,NearestGap,None,-,0,91.6,3,0,0,5,1,8,36,0,0,9.7;17.0;25.6;51.5;61.9;62.4;70.1;71.2;91.6,5,
20260924_204350,Will,2026-09-24T20:57:52,7,C03,Smoothed (virtual-foot) normal jump,Core,Easy,General,SmoothedSurfaceNormal,Nearest,NearestGap,None,-,0,19.2,0,0,0,7,1,6,10,0,0,14.7;14.9;15.1;15.4;15.7;16.1;19.2,5,Felt the same as C02
20260924_204350,Will,2026-09-24T20:58:48,10,C04,Free cursor jump,Core,Easy,General,CursorDirection,Nearest,NearestGap,None,-,0,37.0,1,0,0,1,1,6,29,0,0,8.8;13.7;17.5;27.2;27.2;33.7;37.0,5,"Felt similar to C01, but sideways jumping was less fun"
20260924_204350,Will,2026-09-24T21:00:01,13,C05,"Clamped cursor, tight cone (30°)",Core,Easy,General,ClampedCursorDirection,Nearest,NearestGap,None,-,1,55.6,0,0,0,0,1,6,43,0,0,10.3;15.3;20.2;24.3;38.7;49.1;55.6,8,Didnt feel any different than C01
20260924_204350,Will,2026-09-24T21:00:52,16,C06,"Clamped cursor, wide cone (80°)",Core,Easy,General,ClampedCursorDirection,Nearest,NearestGap,None,-,0,16.8,2,0,0,7,1,6,16,0,0,12.0;12.6;13.1;13.4;13.8;14.8;16.8,5,"Similar to C01, but less comfortable, especially in flat forward jump"
20260924_204350,Will,2026-09-24T21:01:59,19,C07,Auto-target nearest surface jump,Core,Easy,General,NearestSurface,Nearest,NearestGap,None,-,0,37.0,0,0,0,2,1,6,25,0,0,12.5;19.3;23.6;27.7;34.4;36.7;37.0,4,"Felt worse than C01, less fun and less flexible, also less consistent/predictable in certain settings"
20260924_204350,Will,2026-09-24T21:03:02,22,C08,"Assisted cursor jump (30°, 0.6)",Core,Easy,General,AssistedTarget,Nearest,NearestGap,None,-,0,30.0,0,0,0,2,1,6,30,0,0,12.2;16.0;20.0;27.9;27.9;29.6;30.0,6,"Forward jump less fun than C01, and not as smooth in dense areas"
